Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C4",0805,6,1nF,
"C14, C15",CP_Radial_D10.0mm_P5.00mm,2,10uF 400V,
"C16, C20, C21",0805,3,100nF 25V,
C17,0805,1,4.7uF 25V,
C18,CP_Radial_D5.0mm_P2.50mm,1,4.7uF 35V,
"C19, C22",CP_Radial_D5.0mm_P2.50mm,2,22uF 25V,
"C2, C3, C5, C6, C7, C8, C9",0805,7,100pF,
"C23, C25, C27, C30",0805,4,22uF 25V,
"C24, C26, C28, C29",0805,4,1nF 25V,
D1,D_SMA,1,1N4007G,
D2,D_SOD-323,1,BZT52C16V,
"D3, D4",D_SMA,2,D_Filled,
"D5, D6",LED_D5.0mm,2,LED_Small_Filled,
J1,"PhoenixContact_MC_1,5_3-G-5.08_1x03_P5.08mm_Horizontal",1,AC_INPUT,
J2,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,CT1,
J3,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,CT2,
J4,PinHeader_2x02_P2.54mm_Vertical,1,USB,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
L1,L_Axial_L12.0mm_D5.0mm_P5.08mm_Vertical_Fastron_MISC,1,470uH,
L2,L_Axial_L12.0mm_D5.0mm_P5.08mm_Vertical_Fastron_MISC,1,1mH,
L3,L_Axial_L12.0mm_D5.0mm_P5.08mm_Vertical_Fastron_MISC,1,10uH,
"R1, R23, R24, R26, R27, R9",0805,6,300k,
"R10, R2",0805,2,390k,
"R11, R12, R13, R15, R18, R21, R3, R30, R33, R4, R5, R6",0805,12,5k1,
"R14, R39, R40, R41, R42, R7",0805,6,10k,
"R16, R17, R25, R32, R8",0805,5,100,
"R19, R20, R28, R29",0805,4,20k,
"R22, R31, R34, R44",0805,4,1k,
R35,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,1,1k,
R36,0805,1,100k,
R37,0805,1,200k,
R38,0805,1,24k,
R43,0805,1,3k3,
RV1,RV_Disc_D7mm_W3.4mm_P5mm,1,05D391K,
SW1,SW_SPST_B3U-1000P,1,EN,
SW2,SW_SPST_B3U-1000P,1,BOOT,
TH1,RV_Disc_D7mm_W3.4mm_P5mm,1,NTC 10D5,
"U1, U2",SOIC-14_3.9x8.7mm_P1.27mm,2,MCP6004,
U10,TO-92L_Inline,1,LM4040LP-2.5,
U3,SOIC-16W_5.3x10.2mm_P1.27mm,1,CD4053B,
U4,DIP-8_W7.62mm,1,VIPer22ADIP-E,
U5,SOT-23-6_Handsoldering,1,LN5016,
U6,SOT-223-3_TabPin2,1,AMS1117-5.0,
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,
U8,ESP32-WROOM-32,1,ESP32-WROOM-32,
U9,SOIC-16_3.9x9.9mm_P1.27mm,1,MCP3208,
